id,conversation,labels
362,"Partner: (Looks at phone and doesn’t respond)
Partner: You never think about anyone but me.","stonewalling,criticism"
74,"Partner: Whatever, I'm clearly better than you.
Partner: This is just like you to screw things up.","contempt,criticism"
375,Partner: (Silence),stonewalling
156,Partner: You disgust me when you act like this.,contempt
105,Partner: Why are you like this all the time?,criticism
395,"Partner: I only said that because you upset me.
Partner: (Ignores the question entirely)","defensiveness,stonewalling"
378,"Partner: You never take my feelings seriously.
Partner: I guess everything is always my fault.","criticism,defensiveness"
125,Partner: Why are you blaming me again?,defensiveness
69,"Partner: Whatever, I'm clearly better than you.",contempt
451,"Partner: I want to understand how you're feeling.
Partner: I’ve just been really overwhelmed with work lately.",healthy
10,"Partner: Why are you like this all the time?
Partner: Whatever, I'm clearly better than you.","criticism,contempt"
195,Partner: You misunderstood everything I said.,defensiveness
407,"Partner: I felt upset when you didn’t text back earlier.
Partner: I’m sorry. I didn’t realize it hurt you—I’ll be more thoughtful.",healthy
85,"Partner: I guess everything is always my fault.
Partner: This is just like you to screw things up.","defensiveness,criticism"
372,"Partner: (Silence)
Partner: This is just like you to screw things up.","stonewalling,criticism"
389,Partner: You’re impossible to talk to.,criticism
496,"Partner: You handled that conversation with my mom so well.
Partner: Thanks, I was trying really hard to be respectful.",healthy
31,Partner: Why are you blaming me again?,defensiveness
317,"Partner: This is just like you to screw things up.
Partner: I only said that because you upset me.","criticism,defensiveness"
409,"Partner: You handled that conversation with my mom so well.
Partner: Thanks, I was trying really hard to be respectful.",healthy
491,"Partner: I want to understand how you're feeling.
Partner: I’ve just been really overwhelmed with work lately.",healthy
492,"Partner: I want to understand how you're feeling.
Partner: I’ve just been really overwhelmed with work lately.",healthy
281,Partner: You never take my feelings seriously.,criticism
357,Partner: I only said that because you upset me.,defensiveness
77,Partner: You misunderstood everything I said.,defensiveness
462,"Partner: I felt upset when you didn’t text back earlier.
Partner: I’m sorry. I didn’t realize it hurt you—I’ll be more thoughtful.",healthy
498,"Partner: You handled that conversation with my mom so well.
Partner: Thanks, I was trying really hard to be respectful.",healthy
212,"Partner: You’re impossible to talk to.
Partner: (Gets up and walks away mid-conversation)","criticism,stonewalling"
102,"Partner: I only said that because you upset me.
Partner: This is just like you to screw things up.","defensiveness,criticism"
335,Partner: (Silence),stonewalling
476,"Partner: I felt upset when you didn’t text back earlier.
Partner: I’m sorry. I didn’t realize it hurt you—I’ll be more thoughtful.",healthy
337,Partner: You always do this—you're so selfish.,criticism
441,"Partner: You handled that conversation with my mom so well.
Partner: Thanks, I was trying really hard to be respectful.",healthy
174,Partner: You always do this—you're so selfish.,criticism
3,Partner: Why are you blaming me again?,defensiveness
334,Partner: You misunderstood everything I said.,defensiveness
410,"Partner: You handled that conversation with my mom so well.
Partner: Thanks, I was trying really hard to be respectful.",healthy
71,"Partner: You really are such a child.
Partner: You always do this—you're so selfish.","contempt,criticism"
210,"Partner: This is just like you to screw things up.
Partner: (Ignores the question entirely)","criticism,stonewalling"
64,"Partner: Why are you blaming me again?
Partner: You never take my feelings seriously.","defensiveness,criticism"
385,Partner: You never think about anyone but me.,criticism
94,Partner: You always do this—you're so selfish.,criticism
486,"Partner: Can we make time to talk about our week?
Partner: Yeah, I think that would help us feel more connected.",healthy
186,Partner: (Leaves the room),stonewalling
34,Partner: (Silence),stonewalling
78,"Partner: It’s not my fault, you started it!",defensiveness
1,Partner: You’re impossible to talk to.,criticism
12,Partner: Why are you like this all the time?,criticism
416,"Partner: Can we make time to talk about our week?
Partner: Yeah, I think that would help us feel more connected.",healthy
23,Partner: You misunderstood everything I said.,defensiveness
73,Partner: You disgust me when you act like this.,contempt
183,"Partner: Why are you like this all the time?
Partner: You really are such a child.","criticism,contempt"
132,Partner: (Looks at phone and doesn’t respond),stonewalling
411,"Partner: I want to understand how you're feeling.
Partner: I’ve just been really overwhelmed with work lately.",healthy
194,Partner: You really are such a child.,contempt
56,"Partner: I guess everything is always my fault.
Partner: You're the laziest person I know.","defensiveness,contempt"
149,"Partner: Wow, how smart of you. Not.
Partner: I only said that because you upset me.","contempt,defensiveness"
19,"Partner: I only said that because you upset me.
Partner: (Looks at phone and doesn’t respond)","defensiveness,stonewalling"
205,Partner: I guess everything is always my fault.,defensiveness
79,Partner: (Ignores the question entirely),stonewalling
495,"Partner: I felt upset when you didn’t text back earlier.
Partner: I’m sorry. I didn’t realize it hurt you—I’ll be more thoughtful.",healthy
263,Partner: You’re impossible to talk to.,criticism
324,"Partner: You’re impossible to talk to.
Partner: (Gets up and walks away mid-conversation)","criticism,stonewalling"
484,"Partner: Can we make time to talk about our week?
Partner: Yeah, I think that would help us feel more connected.",healthy
80,Partner: Why are you like this all the time?,criticism
40,Partner: (Looks at phone and doesn’t respond),stonewalling
452,"Partner: Can we make time to talk about our week?
Partner: Yeah, I think that would help us feel more connected.",healthy
47,Partner: You're the laziest person I know.,contempt
239,"Partner: (Gets up and walks away mid-conversation)
Partner: Maybe listen to yourself before judging me.","stonewalling,defensiveness"
392,Partner: You never think about anyone but me.,criticism
353,"Partner: I only said that because you upset me.
Partner: Why are you like this all the time?","defensiveness,criticism"
342,"Partner: (Gets up and walks away mid-conversation)
Partner: You disgust me when you act like this.","stonewalling,contempt"
278,Partner: (Leaves the room),stonewalling
291,"Partner: This is just like you to screw things up.
Partner: It’s not my fault, you started it!","criticism,defensiveness"
318,Partner: You never take my feelings seriously.,criticism
305,Partner: You disgust me when you act like this.,contempt
269,Partner: You always do this—you're so selfish.,criticism
70,Partner: (Looks at phone and doesn’t respond),stonewalling
456,"Partner: Thanks for cleaning up earlier, I really appreciated that.
Partner: Of course! I wanted to take some of the stress off you.",healthy
466,"Partner: Can we make time to talk about our week?
Partner: Yeah, I think that would help us feel more connected.",healthy
155,"Partner: It’s not my fault, you started it!",defensiveness
83,"Partner: You really are such a child.
Partner: This is just like you to screw things up.","contempt,criticism"
478,"Partner: I want to understand how you're feeling.
Partner: I’ve just been really overwhelmed with work lately.",healthy
173,"Partner: (Rolls eyes and says nothing)
Partner: Why are you like this all the time?","stonewalling,criticism"
322,Partner: You never take my feelings seriously.,criticism
91,"Partner: It’s not my fault, you started it!
Partner: (Gets up and walks away mid-conversation)","defensiveness,stonewalling"
